time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.86328125,-0.48828125,0.6015625
45,-0.86328125,-0.48828125,0.60546875
91,-0.8671875,-0.48046875,0.61328125
172,-0.89453125,-0.4453125,0.58203125
217,-0.89453125,-0.4453125,0.58203125
264,-0.50390625,-0.37109375,0.76171875
309,0.2734375,0.97265625,0.5625
353,0.2421875,0.6953125,0.6328125
398,-0.0703125,0.5546875,0.63671875
441,-0.15625,0.45703125,0.74609375
485,-0.27734375,0.41015625,0.7109375
527,-0.26171875,0.4453125,0.70703125
572,-0.28125,0.45703125,0.609375
614,-0.46875,1.0078125,0.421875
658,-0.203125,-0.13671875,0.96484375
703,-0.23828125,-0.421875,1.0234375
745,-0.23828125,-0.421875,1.0234375
788,-0.61328125,-1.17578125,0.80078125
830,-0.65625,-0.86328125,0.765625
873,-0.75390625,-0.734375,0.73046875
917,-0.796875,-0.609375,0.6875
961,-0.82421875,-0.69140625,0.65625
1004,-0.8125,-0.78125,0.69921875
1046,-0.79296875,-0.76953125,0.69140625
1088,-0.796875,-0.80859375,0.6953125
1133,-0.78515625,-0.73046875,0.6953125
1175,-0.7734375,-0.7265625,0.703125
1219,-0.76953125,-0.7578125,0.69921875
1291,-0.76953125,-0.7578125,0.69921875
1334,-0.7890625,-0.76953125,0.6875
1380,-0.78515625,-0.7265625,0.6875
1423,-0.7890625,-0.75390625,0.68359375
1465,-0.77734375,-0.73828125,0.6953125
1508,-0.765625,-0.7421875,0.70703125
1550,-0.78125,-0.7421875,0.69140625
1593,-0.78515625,-0.72265625,0.69140625
1637,-0.796875,-0.734375,0.6875
1680,-0.79296875,-0.71875,0.6875
1722,-0.78515625,-0.7265625,0.69921875
1765,-0.78515625,-0.7265625,0.69921875
1810,-0.79296875,-0.70703125,0.69140625
1853,-0.796875,-0.71484375,0.69140625
1895,-0.8046875,-0.71484375,0.6796875
1938,-0.79296875,-0.70703125,0.6953125
1983,-0.80859375,-0.7109375,0.68359375
2026,-0.80078125,-0.69921875,0.68359375
2070,-0.8046875,-0.7109375,0.6875
2113,-0.8046875,-0.68359375,0.68359375
2156,-0.80078125,-0.69921875,0.6875
2200,-0.796875,-0.6953125,0.69140625
