time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.86328125,-0.5390625,0.44921875
62,-0.99609375,-0.56640625,0.40234375
118,-0.99609375,-0.48828125,0.41015625
176,-0.9296875,-0.421875,0.51953125
233,-0.9296875,-0.421875,0.51953125
289,-0.8203125,-0.37890625,0.5546875
347,-0.51953125,-0.61328125,0.7734375
401,-0.37890625,0.33984375,0.6015625
457,-1.890625,-0.84375,-0.0078125
511,-0.75390625,-0.55859375,0.67578125
565,-0.41796875,-0.1015625,0.6875
620,-0.890625,-0.390625,0.44140625
673,-0.94140625,-0.46875,0.48828125
727,-0.94140625,-0.46875,0.48828125
779,-0.86328125,-0.39453125,0.57421875
833,-0.8828125,-0.41796875,0.55078125
924,-0.921875,-0.375,0.4921875
977,-0.875,-0.3828125,0.55859375
1030,-0.86328125,-0.3515625,0.5546875
1087,-0.8984375,-0.39453125,0.55078125
1140,-0.87890625,-0.39453125,0.5703125
1195,-0.8671875,-0.39453125,0.5859375
1252,-0.90234375,-0.3984375,0.609375
1305,-0.90234375,-0.3984375,0.609375
1359,-0.8125,-0.40234375,0.578125
1413,-0.7734375,-0.3984375,0.62890625
1467,-0.7890625,-0.37890625,0.62890625
1527,-0.83203125,-0.31640625,0.62890625
1572,-0.859375,-0.359375,0.66796875
1620,-0.953125,-0.36328125,0.703125
1666,-0.96875,-0.390625,0.69921875
1713,-0.921875,-0.37890625,0.68359375
1761,-0.921875,-0.37890625,0.68359375
1805,-0.921875,-0.37890625,0.68359375
1854,-0.85546875,-0.34375,0.640625
1936,-0.89453125,-0.40234375,0.640625
1993,-0.91796875,-0.40625,0.62109375
2048,-0.890625,-0.3984375,0.625
2106,-0.86328125,-0.3515625,0.63671875
2159,-0.86328125,-0.3671875,0.64453125
2213,-0.86328125,-0.359375,0.6328125
2269,-0.87109375,-0.375,0.6484375
2324,-0.87109375,-0.38671875,0.640625
2378,-0.87109375,-0.38671875,0.640625
2432,-0.859375,-0.375,0.65234375
2486,-0.8671875,-0.38671875,0.6484375
2542,-0.8828125,-0.37890625,0.63671875
2596,-0.87109375,-0.3984375,0.6484375
2652,-0.859375,-0.40234375,0.65625
2708,-0.85546875,-0.38671875,0.65625
