time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-1.22265625,-1.49609375,2.01953125
21,-1,-1.4921875,1.80859375
41,-0.60546875,-1.0390625,1.265625
60,-0.23828125,-0.50390625,0.5234375
80,-0.11328125,-0.29296875,-0.640625
100,-0.31640625,-0.0390625,-1.359375
121,-0.3515625,0.27734375,-1.65625
142,-0.5078125,0.41796875,-1.71875
160,-0.5625,0.44921875,-1.56640625
180,-0.5234375,0.29296875,-1.25
200,-0.5234375,0.29296875,-1.25
220,-0.47265625,-0.1328125,-0.62890625
240,-0.4765625,-0.21875,-0.5546875
260,-0.51171875,-0.25390625,-0.5625
281,-0.578125,-0.265625,-0.578125
300,-0.6640625,-0.33984375,-0.53515625
320,-0.6484375,-0.41015625,-0.22265625
340,-0.6484375,-0.5234375,0.140625
361,-0.69921875,-0.69140625,0.3671875
380,-0.7578125,-0.8515625,0.49609375
400,-0.8359375,-0.8984375,0.55859375
420,-0.90625,-0.828125,0.71875
441,-0.9453125,-0.7890625,0.99609375
460,-0.953125,-0.8046875,1.17578125
480,-0.9609375,-0.7578125,1.109375
502,-0.984375,-0.55859375,0.80859375
529,-0.9765625,-0.46484375,0.65625
545,-0.95703125,-0.37109375,0.5234375
559,-0.95703125,-0.3046875,0.39453125
580,-0.95703125,-0.3046875,0.39453125
600,-0.9453125,-0.19140625,0.2421875
620,-0.890625,-0.1875,0.26953125
641,-0.8515625,-0.23828125,0.296875
660,-0.83203125,-0.3046875,0.296875
681,-0.83984375,-0.359375,0.265625
700,-0.859375,-0.39453125,0.2421875
720,-0.84765625,-0.375,0.2578125
740,-0.83203125,-0.359375,0.26953125
761,-0.828125,-0.3828125,0.265625
780,-0.8359375,-0.40234375,0.2578125
800,-0.8515625,-0.40625,0.24609375
820,-0.84765625,-0.38671875,0.265625
840,-0.8359375,-0.35546875,0.27734375
860,-0.83203125,-0.3671875,0.29296875
880,-0.83984375,-0.375,0.2890625
900,-0.84765625,-0.375,0.28515625
920,-0.8515625,-0.34765625,0.27734375
939,-0.8515625,-0.328125,0.28515625
961,-0.8515625,-0.328125,0.28515625
980,-0.8515625,-0.34765625,0.30078125
