time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.9140625,-0.48828125,0.63671875
20,-1.0078125,-0.46484375,0.8203125
40,-1.171875,-0.46875,1.0390625
60,-1.2421875,-0.6796875,1.5078125
80,-1.19140625,-0.98046875,2.0078125
100,-0.96875,-1.22265625,2.125
121,-0.77734375,-1.3203125,2.00390625
140,-0.609375,-1.32421875,1.59765625
160,-0.609375,-1.32421875,1.59765625
180,-0.33203125,-0.765625,0.47265625
202,-0.26953125,-0.20703125,-0.38671875
235,-0.40234375,0.1328125,-1.09375
254,-0.48046875,0.20703125,-1.484375
271,-0.5390625,0.18359375,-1.67578125
288,-0.6953125,0.30859375,-1.90234375
307,-0.7734375,0.40234375,-1.7890625
321,-0.6875,0.28515625,-1.3984375
341,-0.4921875,-0.2421875,-0.57421875
360,-0.48828125,-0.3359375,-0.4140625
380,-0.50390625,-0.34765625,-0.40625
400,-0.54296875,-0.36328125,-0.421875
420,-0.54296875,-0.36328125,-0.421875
440,-0.71484375,-0.44140625,0.02734375
460,-0.796875,-0.546875,0.3828125
485,-0.81640625,-0.66796875,0.6015625
503,-0.84375,-0.7421875,0.640625
522,-0.84375,-0.7421875,0.640625
540,-1.01171875,-0.7421875,0.765625
560,-1.03515625,-0.68359375,0.9609375
580,-0.98046875,-0.64453125,1.08984375
600,-0.92578125,-0.625,1.0625
620,-0.90234375,-0.62890625,0.95703125
640,-0.93359375,-0.62890625,0.82421875
660,-0.96875,-0.609375,0.703125
680,-0.9296875,-0.49609375,0.55859375
700,-0.90234375,-0.453125,0.51171875
720,-0.89453125,-0.4375,0.46875
740,-0.8828125,-0.43359375,0.44921875
760,-0.8671875,-0.41796875,0.44921875
780,-0.84765625,-0.41015625,0.453125
800,-0.8359375,-0.421875,0.44140625
820,-0.8359375,-0.4453125,0.41015625
840,-0.84765625,-0.47265625,0.37109375
860,-0.85546875,-0.4921875,0.33984375
880,-0.85546875,-0.4921875,0.3359375
900,-0.85546875,-0.4921875,0.3359375
920,-0.85546875,-0.4765625,0.33984375
940,-0.859375,-0.46875,0.3359375
960,-0.8671875,-0.48046875,0.33203125
980,-0.8671875,-0.49609375,0.33203125
