time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.86328125,-0.25,0.63671875
22,-0.86328125,-0.23828125,0.6171875
48,-0.8671875,-0.2421875,0.63671875
72,-0.8671875,-0.2421875,0.63671875
92,-0.8671875,-0.23828125,0.6328125
116,-0.86328125,-0.23828125,0.625
140,-0.859375,-0.234375,0.6328125
164,-0.859375,-0.21484375,0.63671875
190,-0.86328125,-0.21484375,0.63671875
215,-0.859375,-0.21484375,0.625
239,-0.875,-0.17578125,0.62890625
262,-0.91015625,-0.09765625,0.66015625
286,-0.953125,0.07421875,0.6484375
304,-0.9453125,0.0859375,0.53515625
328,-0.9453125,0.0859375,0.53515625
350,-0.5703125,-0.30078125,0.69140625
369,-0.234375,-0.61328125,0.90234375
390,0.0234375,-1.0625,0.5234375
414,-0.046875,-1.2578125,0.40234375
437,0.14453125,-1.3125,0.41796875
462,0.46484375,-1.29296875,0.51953125
484,0.49609375,-1.23828125,0.6015625
503,0.47265625,-1.140625,0.609375
525,0.29296875,-1.1953125,0.4140625
549,0.140625,-1.27734375,0.26171875
571,0.015625,-1.3046875,0.1875
595,0.015625,-1.3046875,0.1875
617,-0.2734375,-1.3828125,0.140625
641,-0.484375,-1.1015625,0.1171875
663,-0.66796875,-0.984375,-0.0625
688,-0.6328125,-0.97265625,0.2421875
710,-0.52734375,-0.49609375,0.546875
735,-0.53515625,0.375,0.65625
777,-0.796875,0.05078125,0.6015625
801,-0.91015625,-0.10546875,0.46875
824,-0.90625,-0.0546875,0.46484375
848,-0.90625,-0.0546875,0.46484375
870,-0.91015625,-0.13671875,0.49609375
894,-0.91015625,-0.17578125,0.4921875
918,-0.88671875,-0.171875,0.51171875
941,-0.828125,-0.140625,0.53515625
965,-0.84375,-0.17578125,0.54296875
987,-0.84765625,-0.17578125,0.5390625
1011,-0.8359375,-0.16015625,0.5390625
1034,-0.828125,-0.15234375,0.5390625
1058,-0.8359375,-0.16796875,0.53515625
1079,-0.84375,-0.18359375,0.5234375
1104,-0.84375,-0.18359375,0.5234375
1126,-0.8359375,-0.16015625,0.5234375
1151,-0.828125,-0.1640625,0.53125
