time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,-0.8515625,-0.19140625,0.50390625
33,-0.85546875,-0.1875,0.50390625
66,-0.85546875,-0.1875,0.5078125
98,-0.859375,-0.19140625,0.515625
129,-0.86328125,-0.19921875,0.5078125
161,-0.8671875,-0.19921875,0.5078125
190,-0.8671875,-0.1875,0.5
221,-0.859375,-0.1796875,0.5078125
252,-0.859375,-0.1796875,0.5078125
283,-0.8671875,-0.1875,0.51171875
339,-0.8671875,-0.17578125,0.51171875
369,-0.8515625,-0.2109375,0.50390625
400,-0.90234375,-0.09375,0.4921875
429,-0.796875,-0.171875,0.4765625
460,-0.796875,-0.171875,0.4765625
490,-0.41796875,-1.2109375,0.44140625
521,-0.1875,-1.18359375,0.55859375
556,0.05078125,-1.03125,0.62109375
586,0.1640625,-1.1484375,0.57421875
617,0.08203125,-1.30078125,0.4921875
646,0.05859375,-1.1171875,0.50390625
677,0.06640625,-1.109375,0.5078125
707,0.02734375,-1.1640625,0.4609375
736,-0.03515625,-1.17578125,0.4453125
766,-0.03515625,-1.17578125,0.4453125
797,-0.078125,-1.22265625,0.41796875
826,-0.08984375,-1.27734375,0.38671875
856,-0.18359375,-1.328125,0.35546875
886,-0.22265625,-1.23046875,0.3984375
917,-0.4609375,-1.04296875,0.3359375
946,-0.87890625,-0.9375,0.0390625
976,-0.91015625,-0.90625,0.0703125
1006,-0.73828125,-0.5859375,0.37890625
1034,-0.7421875,-0.29296875,0.484375
1065,-0.71484375,0.11328125,0.546875
1096,-0.7109375,0.09375,0.58984375
1125,-0.734375,0.03125,0.6015625
1154,-0.78125,0.0546875,0.5546875
1183,-0.77734375,0.0625,0.54296875
1214,-0.8125,-0.0625,0.53515625
1242,-0.8203125,-0.05078125,0.51953125
1272,-0.8203125,-0.05078125,0.51953125
1305,-0.81640625,-0.0625,0.53125
1356,-0.82421875,-0.15625,0.51953125
1386,-0.83984375,-0.13671875,0.5078125
1418,-0.83203125,-0.1328125,0.51171875
1448,-0.8359375,-0.17578125,0.50390625
1477,-0.8359375,-0.17578125,0.50390625
1508,-0.84375,-0.1484375,0.5
1539,-0.84375,-0.16015625,0.5
